exposure,2000.0ms
wavelength
340,83
341,41
342,0
343,0
344,38
345,2
346,93
347,5
348,257
349,327
350,0
351,0
352,0
353,4
354,0
355,192
356,229
357,137
358,57
359,0
360,54
361,123
362,0
363,0
364,0
365,0
366,15
367,23
368,0
369,21
370,194
371,12
372,42
373,56
374,47
375,0
376,18
377,102
378,36
379,0
380,0
381,19
382,13
383,31
384,65
385,6
386,0
387,72
388,42
389,18
390,0
391,34
392,24
393,19
394,36
395,34
396,38
397,65
398,0
399,0
400,0
401,1
402,47
403,37
404,8
405,31
406,0
407,0
408,0
409,0
410,16
411,0
412,0
413,24
414,0
415,13
416,29
417,29
418,26
419,0
420,36
421,0
422,55
423,44
424,57
425,21
426,62
427,40
428,3
429,40
430,0
431,54
432,52
433,31
434,2
435,0
436,0
437,0
438,0
439,6
440,14
441,0
442,0
443,0
444,9
445,58
446,0
447,2
448,56
449,35
450,0
451,15
452,57
453,91
454,89
455,21
456,0
457,3
458,38
459,55
460,0
461,0
462,59
463,35
464,71
465,12
466,13
467,0
468,6
469,0
470,15
471,0
472,36
473,0
474,0
475,0
476,0
477,10
478,0
479,0
480,71
481,0
482,0
483,0
484,0
485,66
486,0
487,0
488,0
489,0
490,0
491,0
492,7
493,0
494,15
495,0
496,22
497,0
498,58
499,0
500,0
501,39
502,0
503,0
504,0
505,7
506,0
507,0
508,14
509,0
510,46
511,38
512,50
513,99
514,21
515,0
516,0
517,0
518,0
519,54
520,41
521,60
522,0
523,7
524,0
525,0
526,37
527,29
528,0
529,0
530,5
531,14
532,20
533,39
534,57
535,0
536,0
537,0
538,0
539,49
540,35
541,46
542,27
543,15
544,0
545,57
546,53
547,32
548,22
549,20
550,0
551,0
552,0
553,0
554,55
555,24
556,43
557,35
558,53
559,38
560,0
561,32
562,29
563,54
564,0
565,0
566,0
567,28
568,7
569,39
570,40
571,66
572,0
573,0
574,0
575,84
576,0
577,38
578,77
579,81
580,47
581,34
582,67
583,16
584,74
585,166
586,111
587,64
588,92
589,91
590,44
591,118
592,50
593,43
594,71
595,81
596,99
597,80
598,92
599,45
600,104
601,79
602,94
603,105
604,127
605,90
606,132
607,132
608,77
609,150
610,194
611,181
612,155
613,128
614,180
615,188
616,194
617,148
618,217
619,190
620,172
621,177
622,140
623,202
624,211
625,191
626,180
627,211
628,237
629,229
630,199
631,195
632,223
633,211
634,163
635,266
636,264
637,298
638,256
639,286
640,253
641,246
642,274
643,282
644,268
645,283
646,280
647,273
648,240
649,256
650,261
651,276
652,260
653,265
654,276
655,322
656,309
657,336
658,291
659,262
660,245
661,249
662,267
663,275
664,310
665,239
666,312
667,234
668,251
669,280
670,268
671,271
672,254
673,266
674,257
675,281
676,273
677,260
678,229
679,322
680,344
681,318
682,300
683,381
684,357
685,345
686,425
687,458
688,453
689,520
690,493
691,522
692,542
693,602
694,597
695,653
696,601
697,652
698,670
699,684
700,723
701,775
702,808
703,823
704,833
705,877
706,861
707,946
708,885
709,857
710,883
711,823
712,850
713,918
714,925
715,867
716,941
717,896
718,916
719,964
720,888
721,915
722,944
723,955
724,928
725,955
726,944
727,950
728,936
729,933
730,945
731,954
732,933
733,940
734,913
735,949
736,917
737,939
738,932
739,951
740,959
741,900
742,877
743,932
744,929
745,913
746,897
747,965
748,964
749,1010
750,983
751,1016
752,1016
753,982
754,1022
755,1001
756,1013
757,940
758,988
759,979
760,990
761,994
762,1109
763,1038
764,1079
765,1073
766,1153
767,1115
768,1063
769,1154
770,1141
771,1168
772,1217
773,1218
774,1193
775,1149
776,1193
777,1181
778,1211
779,1158
780,1208
781,1250
782,1154
783,1191
784,1274
785,1302
786,1213
787,1172
788,1148
789,1116
790,1178
791,1240
792,1254
793,1247
794,1237
795,1226
796,1327
797,1251
798,1284
799,1318
800,1321
801,1322
802,1277
803,1309
804,1366
805,1434
806,1417
807,1362
808,1328
809,1359
810,1372
811,1360
812,1379
813,1407
814,1436
815,1372
816,1355
817,1295
818,1296
819,1299
820,1368
821,1320
822,1329
823,1257
824,1228
825,1245
826,1189
827,1228
828,1256
829,1221
830,1240
831,1249
832,1165
833,1149
834,1183
835,1134
836,1147
837,1171
838,1148
839,1218
840,1163
841,1204
842,1159
843,1193
844,1013
845,1011
846,1125
847,1216
848,1193
849,1132
850,1140
851,1127
852,1120
853,1150
854,1107
855,1162
856,1219
857,1101
858,1060
859,1067
860,1095
861,1111
862,1079
863,1031
864,1052
865,1021
866,1057
867,1098
868,1014
869,1072
870,1088
871,993
872,864
873,926
874,949
875,1059
876,1031
877,1043
878,968
879,975
880,976
881,920
882,998
883,969
884,888
885,961
886,975
887,959
888,920
889,1021
890,878
891,901
892,891
893,940
894,896
895,818
896,946
897,809
898,942
899,961
900,806
901,931
902,879
903,838
904,776
905,794
906,819
907,873
908,940
909,739
910,916
911,843
912,855
913,861
914,883
915,810
916,857
917,778
918,932
919,797
920,759
921,902
922,944
923,915
924,816
925,909
926,926
927,859
928,971
929,805
930,777
931,910
932,706
933,924
934,988
935,1003
936,994
937,964
938,1036
939,928
940,694
941,864
942,873
943,880
944,920
945,926
946,865
947,889
948,1020
949,972
950,1008
951,787
952,964
953,920
954,1001
955,1003
956,983
957,885
958,771
959,1027
960,1003
961,933
962,1029
963,970
964,1104
965,1000
966,799
967,780
968,768
969,838
970,928
971,1002
972,991
973,1158
974,982
975,850
976,925
977,959
978,1101
979,995
980,1021
981,1174
982,1290
983,1224
984,966
985,1079
986,1164
987,995
988,1106
989,1056
990,1195
991,1275
992,1188
993,1298
994,1491
995,1239
996,1096
997,1089
998,1336
999,1318
1000,1474
