exposure,2000.0ms
wavelength
340,55
341,0
342,0
343,0
344,0
345,30
346,96
347,0
348,270
349,75
350,0
351,0
352,0
353,47
354,0
355,38
356,226
357,194
358,85
359,0
360,65
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,128
371,20
372,44
373,30
374,97
375,0
376,36
377,101
378,0
379,0
380,0
381,1
382,0
383,31
384,94
385,91
386,0
387,10
388,64
389,0
390,0
391,30
392,75
393,55
394,22
395,12
396,0
397,0
398,0
399,0
400,0
401,56
402,56
403,54
404,0
405,0
406,0
407,0
408,0
409,0
410,13
411,0
412,24
413,26
414,23
415,0
416,41
417,7
418,0
419,0
420,14
421,0
422,70
423,87
424,115
425,60
426,85
427,24
428,0
429,38
430,0
431,70
432,45
433,0
434,9
435,0
436,0
437,8
438,0
439,13
440,40
441,3
442,0
443,2
444,0
445,50
446,7
447,4
448,8
449,0
450,0
451,38
452,75
453,102
454,123
455,69
456,0
457,0
458,45
459,59
460,0
461,0
462,10
463,0
464,48
465,52
466,0
467,0
468,19
469,0
470,35
471,0
472,15
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,95
481,51
482,0
483,16
484,0
485,22
486,0
487,0
488,0
489,0
490,0
491,0
492,18
493,40
494,14
495,0
496,34
497,0
498,86
499,0
500,11
501,53
502,11
503,0
504,51
505,25
506,0
507,0
508,2
509,0
510,76
511,66
512,46
513,97
514,32
515,19
516,42
517,65
518,66
519,0
520,42
521,52
522,7
523,65
524,17
525,22
526,76
527,37
528,14
529,0
530,4
531,14
532,33
533,18
534,40
535,19
536,0
537,0
538,0
539,83
540,34
541,47
542,18
543,53
544,0
545,52
546,62
547,39
548,34
549,25
550,21
551,0
552,1
553,11
554,80
555,40
556,82
557,55
558,0
559,11
560,9
561,55
562,45
563,42
564,0
565,0
566,7
567,49
568,50
569,27
570,68
571,45
572,0
573,0
574,0
575,64
576,23
577,31
578,45
579,76
580,43
581,12
582,41
583,0
584,67
585,194
586,135
587,59
588,112
589,82
590,21
591,64
592,31
593,0
594,20
595,45
596,39
597,45
598,99
599,43
600,107
601,49
602,41
603,49
604,98
605,58
606,123
607,131
608,62
609,129
610,155
611,132
612,109
613,53
614,132
615,135
616,143
617,70
618,174
619,135
620,165
621,134
622,92
623,119
624,103
625,85
626,117
627,111
628,137
629,133
630,97
631,130
632,146
633,114
634,126
635,168
636,147
637,200
638,170
639,169
640,131
641,152
642,198
643,184
644,182
645,173
646,157
647,154
648,99
649,134
650,140
651,188
652,166
653,123
654,136
655,197
656,176
657,200
658,208
659,187
660,131
661,132
662,177
663,190
664,169
665,124
666,176
667,99
668,114
669,161
670,163
671,140
672,155
673,155
674,150
675,124
676,145
677,135
678,91
679,178
680,230
681,208
682,201
683,227
684,200
685,158
686,270
687,278
688,277
689,316
690,256
691,338
692,362
693,368
694,362
695,433
696,341
697,435
698,452
699,458
700,494
701,536
702,547
703,525
704,554
705,632
706,627
707,700
708,654
709,624
710,676
711,613
712,602
713,664
714,700
715,685
716,714
717,641
718,668
719,749
720,661
721,692
722,737
723,784
724,771
725,773
726,741
727,777
728,777
729,757
730,784
731,764
732,775
733,759
734,779
735,804
736,770
737,800
738,801
739,818
740,781
741,741
742,741
743,789
744,783
745,755
746,741
747,831
748,813
749,870
750,829
751,842
752,848
753,843
754,890
755,936
756,896
757,817
758,876
759,842
760,871
761,874
762,1006
763,890
764,1001
765,934
766,946
767,963
768,919
769,965
770,944
771,1051
772,1111
773,1130
774,1058
775,1000
776,1040
777,1070
778,1120
779,1054
780,1107
781,1155
782,1046
783,1087
784,1140
785,1152
786,1101
787,1110
788,1035
