exposure,2000.0ms
wavelength
340,36
341,12
342,0
343,0
344,0
345,0
346,89
347,15
348,29
349,38
350,0
351,0
352,0
353,0
354,13
355,44
356,212
357,94
358,66
359,6
360,76
361,0
362,0
363,0
364,0
365,0
366,18
367,0
368,0
369,0
370,73
371,0
372,0
373,0
374,39
375,0
376,9
377,44
378,35
379,2
380,0
381,27
382,0
383,40
384,72
385,27
386,0
387,31
388,22
389,36
390,0
391,0
392,21
393,28
394,39
395,15
396,14
397,0
398,0
399,0
400,0
401,13
402,34
403,18
404,0
405,0
406,0
407,0
408,0
409,2
410,46
411,0
412,0
413,0
414,0
415,0
416,5
417,3
418,0
419,0
420,16
421,0
422,29
423,12
424,42
425,10
426,62
427,2
428,0
429,37
430,24
431,62
432,30
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,10
444,3
445,41
446,0
447,0
448,19
449,3
450,0
451,21
452,60
453,80
454,71
455,4
456,0
457,0
458,0
459,66
460,0
461,0
462,28
463,12
464,64
465,4
466,0
467,0
468,29
469,1
470,23
471,31
472,39
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,81
481,25
482,0
483,21
484,0
485,16
486,1
487,17
488,0
489,0
490,9
491,20
492,13
493,44
494,9
495,0
496,16
497,0
498,75
499,0
500,4
501,0
502,7
503,0
504,23
505,30
506,0
507,0
508,15
509,14
510,41
511,35
512,64
513,91
514,16
515,0
516,0
517,20
518,44
519,29
520,41
521,44
522,0
523,0
524,0
525,0
526,50
527,12
528,6
529,0
530,0
531,22
532,25
533,26
534,48
535,32
536,0
537,0
538,0
539,41
540,13
541,25
542,19
543,9
544,1
545,70
546,19
547,13
548,7
549,22
550,20
551,0
552,0
553,20
554,47
555,43
556,32
557,18
558,54
559,43
560,0
561,33
562,18
563,22
564,0
565,0
566,0
567,16
568,0
569,5
570,19
571,12
572,0
573,0
574,0
575,48
576,10
577,32
578,10
579,8
580,24
581,0
582,51
583,0
584,37
585,94
586,54
587,32
588,58
589,41
590,10
591,17
592,10
593,0
594,0
595,17
596,7
597,13
598,42
599,0
600,19
601,0
602,14
603,0
604,21
605,0
606,13
607,35
608,0
609,32
610,57
611,35
612,25
613,0
614,20
615,37
616,36
617,0
618,48
619,21
620,42
621,36
622,4
623,21
624,6
625,22
626,47
627,30
628,34
629,23
630,10
631,8
632,34
633,15
634,33
635,38
636,18
637,37
638,21
639,39
640,23
641,30
642,52
643,44
644,28
645,36
646,12
647,4
648,0
649,16
650,4
651,31
652,0
653,0
654,21
655,49
656,8
657,51
658,42
659,37
660,20
661,11
662,45
663,36
664,32
665,19
666,59
667,39
668,35
669,34
670,32
671,38
672,21
673,31
674,44
675,36
676,48
677,45
678,0
679,57
680,70
681,37
682,27
683,57
684,27
685,21
686,53
687,42
688,17
689,38
690,0
691,50
692,50
693,67
694,29
695,54
696,0
697,26
698,59
699,70
700,80
701,75
702,103
703,98
704,121
705,188
706,141
707,206
708,187
709,198
710,180
711,188
712,237
713,297
714,303
715,309
716,364
717,333
718,366
719,423
720,412
721,460
722,524
723,551
724,547
725,595
726,629
727,651
728,642
729,656
730,703
731,743
732,732
733,748
734,777
735,803
736,800
737,818
738,814
739,857
740,876
741,859
742,878
743,892
744,899
745,905
746,928
747,951
748,950
749,1017
750,1007
751,1031
752,1038
753,988
754,1057
755,1044
756,1032
757,972
758,1020
759,1040
760,1050
761,1044
762,1134
763,1068
764,1102
765,1084
766,1133
767,1135
768,1088
769,1138
770,1112
771,1150
772,1182
773,1208
774,1141
775,1121
776,1139
777,1128
778,1157
779,1154
780,1158
781,1178
782,1143
783,1192
784,1210
785,1187
786,1138
787,1128
788,1111
789,1098
790,1138
791,1158
792,1204
793,1151
794,1183
795,1176
796,1220
797,1150
798,1175
799,1189
800,1160
801,1209
802,1172
803,1159
804,1200
805,1295
806,1263
807,1235
808,1194
809,1213
810,1210
811,1206
812,1198
813,1181
814,1217
815,1170
816,1188
817,1147
818,1189
819,1143
820,1178
821,1103
822,1143
823,1057
824,1144
825,1154
826,1074
827,1000
828,1075
829,1066
830,1095
831,1074
832,992
833,1000
834,1043
835,1037
836,1045
837,1024
838,1015
839,1040
840,981
841,1013
842,981
843,1023
844,909
845,924
846,975
847,967
848,897
849,934
850,917
851,905
852,882
853,932
854,937
855,942
856,930
857,865
858,814
859,860
860,862
861,838
862,809
863,820
864,804
865,811
866,819
867,813
868,758
869,728
870,782
871,689
872,608
873,595
874,675
875,770
876,670
877,660
878,650
879,634
880,607
881,564
882,601
883,553
884,564
885,542
886,560
887,535
888,512
889,560
890,469
891,510
892,528
893,490
894,476
895,407
896,488
897,442
898,509
899,495
900,387
901,504
902,488
903,448
904,401
905,455
906,401
907,448
908,525
909,411
910,530
911,438
912,386
913,468
914,496
915,414
916,466
917,422
918,579
919,370
920,390
921,545
922,471
923,515
924,449
925,551
926,586
927,495
928,490
929,407
930,454
931,538
932,445
933,532
934,604
935,574
936,568
937,645
938,694
939,596
940,422
941,529
942,499
943,520
944,573
945,516
946,447
947,568
948,535
949,507
950,569
951,485
952,503
953,525
954,517
955,632
956,504
957,478
958,397
959,575
960,545
961,566
962,547
963,538
964,554
965,439
966,321
967,329
968,367
969,367
970,474
971,509
972,512
973,569
974,521
975,388
976,425
977,411
978,574
979,476
980,460
981,558
982,726
983,652
984,435
985,460
986,543
987,391
988,492
989,436
990,570
991,638
992,574
993,700
994,749
995,559
996,495
997,560
998,714
999,654
1000,770
