exposure,2000.0ms
wavelength
340,0
341,0
342,0
343,0
344,0
345,0
346,35
347,46
348,310
349,200
350,0
351,0
352,0
353,0
354,0
355,82
356,214
357,117
358,92
359,0
360,27
361,0
362,0
363,0
364,0
365,28
366,68
367,0
368,0
369,0
370,157
371,0
372,0
373,5
374,103
375,0
376,16
377,53
378,2
379,12
380,0
381,0
382,0
383,1
384,37
385,56
386,0
387,92
388,50
389,60
390,0
391,0
392,28
393,0
394,68
395,51
396,37
397,56
398,0
399,0
400,0
401,0
402,61
403,57
404,23
405,7
406,0
407,0
408,0
409,0
410,44
411,0
412,0
413,27
414,7
415,0
416,61
417,0
418,8
419,17
420,47
421,0
422,53
423,39
424,70
425,39
426,71
427,0
428,0
429,26
430,0
431,14
432,13
433,0
434,0
435,0
436,0
437,27
438,0
439,8
440,0
441,0
442,0
443,18
444,10
445,45
446,0
447,0
448,0
449,0
450,0
451,0
452,53
453,85
454,94
455,20
456,0
457,0
458,29
459,71
460,0
461,0
462,0
463,0
464,61
465,28
466,0
467,0
468,0
469,0
470,0
471,0
472,41
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,58
481,0
482,0
483,20
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,5
492,4
493,34
494,29
495,0
496,10
497,0
498,56
499,0
500,8
501,29
502,23
503,3
504,0
505,9
506,0
507,0
508,0
509,0
510,41
511,0
512,0
513,75
514,2
515,0
516,12
517,28
518,9
519,14
520,7
521,39
522,0
523,34
524,0
525,0
526,3
527,0
528,0
529,0
530,0
531,10
532,0
533,9
534,20
535,0
536,0
537,0
538,0
539,20
540,0
541,45
542,54
543,0
544,0
545,80
546,44
547,17
548,12
549,0
550,11
551,0
552,0
553,3
554,52
555,17
556,28
557,22
558,0
559,24
560,0
561,34
562,47
563,12
564,0
565,0
566,0
567,0
568,0
569,0
570,4
571,19
572,0
573,0
574,0
575,47
576,0
577,1
578,15
579,8
580,0
581,0
582,4
583,0
584,32
585,104
586,71
587,32
588,97
589,18
590,0
591,38
592,19
593,0
594,0
595,10
596,20
597,7
598,68
599,0
600,0
601,5
602,28
603,2
604,59
605,9
606,27
607,27
608,0
609,37
610,60
611,47
612,52
613,15
614,52
615,49
616,66
617,18
618,70
619,26
620,45
621,44
622,37
623,94
624,28
625,0
626,11
627,39
628,61
629,49
630,10
631,16
632,63
633,54
634,47
635,66
636,93
637,120
638,66
639,65
640,49
641,33
642,62
643,64
644,57
645,105
646,79
647,91
648,12
649,40
650,25
651,96
652,24
653,16
654,27
655,83
656,29
657,116
658,64
659,82
660,44
661,37
662,66
663,79
664,51
665,42
666,82
667,23
668,59
669,96
670,60
671,55
672,87
673,65
674,69
675,55
676,85
677,94
678,9
679,116
680,117
681,77
682,86
683,137
684,55
685,42
686,124
687,90
688,63
689,86
690,56
691,85
692,91
693,76
694,49
695,87
696,0
697,60
698,46
699,44
700,55
701,72
702,116
703,95
704,60
705,136
706,92
707,164
708,127
709,82
710,98
711,73
712,66
713,128
714,133
715,120
716,125
717,69
718,94
719,108
720,112
721,82
722,141
723,144
724,125
725,168
726,128
727,156
728,131
729,123
730,156
731,130
732,106
733,132
734,142
735,192
736,152
737,129
738,113
739,155
740,164
741,109
742,92
743,102
744,94
745,65
746,86
747,127
748,137
749,181
750,155
751,189
752,163
753,164
754,219
755,201
756,164
757,96
758,135
759,105
760,159
761,139
762,181
763,136
764,209
765,102
766,147
767,181
768,137
769,136
770,160
771,208
772,293
773,246
774,226
775,223
776,203
777,179
778,212
779,175
780,223
781,325
782,196
783,189
784,313
785,315
786,196
787,149
788,161
789,149
790,224
791,254
792,254
793,172
794,209
795,283
796,342
797,222
798,241
799,266
800,238
801,233
802,188
803,216
804,291
805,385
806,286
807,240
808,258
809,257
810,324
811,273
812,330
813,338
814,394
815,286
816,310
817,321
818,328
819,240
820,317
821,267
822,303
823,207
824,255
825,283
826,222
827,207
828,284
829,271
830,349
831,314
832,257
833,335
834,316
835,291
836,298
837,301
838,279
839,337
840,320
841,353
842,293
843,395
844,265
845,242
846,271
847,362
848,317
849,335
850,332
851,335
852,324
853,383
854,365
855,444
856,480
857,388
858,342
859,373
860,429
861,460
862,347
863,320
864,441
865,428
866,472
867,473
868,446
869,422
870,461
871,393
872,296
873,355
874,401
875,455
876,496
877,505
878,428
879,550
880,477
881,434
882,509
883,509
884,506
885,475
886,479
887,492
888,483
889,530
890,495
891,530
892,593
893,556
894,551
895,528
896,633
897,522
898,651
899,613
900,539
901,612
902,615
903,586
904,503
905,666
906,614
907,652
908,792
909,629
910,766
911,618
912,711
913,718
914,742
915,607
916,790
917,669
918,836
919,549
920,545
921,755
922,683
923,751
924,661
925,807
926,868
927,816
928,833
929,668
930,720
931,866
932,690
933,835
934,880
935,943
936,958
937,1114
938,1127
939,993
940,793
941,936
942,866
943,854
944,874
945,978
946,833
947,1004
948,1004
949,1024
950,1035
951,945
952,1029
953,1083
954,1096
955,1150
956,1108
957,1036
958,890
959,1278
960,1187
961,1177
962,1264
963,1297
964,1242
965,1154
966,1032
967,1081
968,1050
969,1122
970,1248
971,1281
972,1175
973,1415
974,1273
975,1190
976,1195
977,1155
978,1372
979,1353
980,1242
981,1414
982,1507
983,1572
984,1315
985,1493
986,1506
987,1353
988,1518
989,1469
990,1594
991,1767
992,1571
993,1658
994,1968
995,1620
996,1446
997,1437
998,1566
999,1679
1000,1780
