exposure,2000.0ms
wavelength
340,136
341,27
342,14
343,190
344,104
345,66
346,61
347,106
348,269
349,139
350,0
351,15
352,17
353,16
354,0
355,315
356,360
357,110
358,191
359,84
360,86
361,80
362,0
363,3
364,140
365,68
366,142
367,55
368,6
369,0
370,174
371,83
372,129
373,77
374,43
375,0
376,0
377,133
378,88
379,14
380,1
381,8
382,5
383,77
384,104
385,69
386,0
387,115
388,119
389,100
390,0
391,3
392,56
393,67
394,53
395,71
396,22
397,51
398,0
399,0
400,0
401,61
402,101
403,97
404,84
405,37
406,11
407,0
408,15
409,39
410,99
411,20
412,12
413,57
414,15
415,0
416,100
417,44
418,29
419,31
420,95
421,54
422,138
423,138
424,109
425,93
426,134
427,104
428,61
429,113
430,91
431,162
432,141
433,157
434,114
435,201
436,187
437,321
438,297
439,317
440,306
441,256
442,279
443,343
444,359
445,436
446,367
447,420
448,515
449,479
450,461
451,493
452,573
453,620
454,579
455,454
456,345
457,382
458,388
459,410
460,291
461,243
462,313
463,271
464,316
465,242
466,197
467,134
468,171
469,166
470,174
471,114
472,193
473,169
474,144
475,75
476,75
477,116
478,97
479,71
480,200
481,120
482,106
483,141
484,118
485,167
486,148
487,175
488,97
489,82
490,213
491,205
492,178
493,220
494,190
495,111
496,196
497,138
498,213
499,107
500,129
501,151
502,122
503,106
504,155
505,119
506,98
507,82
508,141
509,113
510,220
511,173
512,197
513,239
514,181
515,142
516,170
517,180
518,166
519,114
520,181
521,217
522,110
523,164
524,170
525,158
526,236
527,181
528,189
529,176
530,173
531,246
532,235
533,195
534,224
535,212
536,196
537,205
538,203
539,315
540,337
541,498
542,633
543,698
544,785
545,923
546,910
547,847
548,706
549,592
550,453
551,354
552,307
553,292
554,343
555,265
556,268
557,228
558,173
559,221
560,173
561,183
562,171
563,165
564,102
565,123
566,130
567,191
568,137
569,136
570,163
571,137
572,102
573,91
574,121
575,192
576,151
577,195
578,222
579,163
580,206
581,229
582,256
583,198
584,273
585,385
586,303
587,339
588,334
589,281
590,223
591,263
592,221
593,146
594,173
595,209
596,199
597,196
598,243
599,170
600,196
601,198
602,205
603,186
604,197
605,187
606,191
607,198
608,206
609,359
610,520
611,599
612,649
613,526
614,521
615,432
616,351
617,235
618,299
619,276
620,285
621,293
622,247
623,267
624,236
625,209
626,199
627,187
628,222
629,206
630,187
631,201
632,234
633,189
634,153
635,176
636,163
637,209
638,170
639,196
640,138
641,135
642,156
643,181
644,162
645,191
646,148
647,131
648,79
649,110
650,116
651,161
652,120
653,94
654,94
655,152
656,95
657,160
658,155
659,144
660,90
661,100
662,125
663,136
664,129
665,105
666,143
667,93
668,94
669,126
670,103
671,96
672,114
673,108
674,128
675,99
676,119
677,127
678,61
679,113
680,132
681,149
682,111
683,152
684,107
685,68
686,98
687,96
688,59
689,126
690,71
691,85
692,69
693,100
694,71
695,82
696,35
697,98
698,87
699,72
700,79
701,99
702,124
703,130
704,105
705,158
706,120
707,201
708,143
709,116
710,137
711,92
712,88
713,130
714,132
715,99
716,108
717,74
718,92
719,148
720,108
721,84
722,145
723,137
724,134
725,160
726,141
727,170
728,147
729,175
730,151
731,137
732,107
733,129
734,127
735,160
736,155
737,126
738,139
739,178
740,118
741,109
742,87
743,120
744,132
745,104
746,134
747,159
748,145
749,207
750,188
751,185
752,201
753,111
754,184
755,201
756,176
757,88
758,131
759,133
760,136
761,115
762,226
763,145
764,178
765,114
766,153
767,145
768,143
769,143
770,146
771,171
772,229
773,212
774,166
775,154
776,226
777,215
778,247
779,230
780,206
781,285
782,207
783,232
784,254
785,283
786,194
787,169
788,147
789,140
790,206
791,230
792,242
793,197
794,215
795,240
796,279
797,174
798,211
799,225
800,251
801,246
802,165
803,129
804,270
805,335
806,258
807,259
808,205
809,269
810,359
811,303
812,292
813,296
814,362
815,272
816,295
817,304
818,318
819,248
820,311
821,234
822,285
823,187
824,260
825,256
826,200
827,213
828,234
829,280
830,346
831,335
832,261
833,283
834,306
835,298
836,298
837,290
838,291
839,347
840,302
841,329
842,288
843,311
844,195
845,232
846,283
847,352
848,283
849,329
850,337
851,287
852,342
853,420
854,381
855,381
856,416
857,298
858,301
859,300
860,299
861,402
862,310
863,318
864,418
865,329
866,431
867,428
868,393
869,412
870,422
871,375
872,316
873,380
874,441
875,516
876,457
877,455
878,399
879,430
880,376
881,381
882,498
883,465
884,414
885,398
886,419
887,506
888,400
889,491
890,463
891,532
892,591
893,565
894,504
895,459
896,536
897,435
898,569
899,621
900,496
901,601
902,590
903,547
904,486
905,509
906,515
907,528
908,675
909,508
910,699
911,542
912,552
913,582
914,580
915,553
916,643
917,593
918,814
919,512
920,447
921,700
922,718
923,801
924,669
925,755
926,750
927,641
928,701
929,614
930,554
931,705
932,569
933,794
934,831
935,727
936,793
937,958
938,1032
939,833
940,655
941,906
942,822
943,892
944,825
945,819
946,693
947,852
948,983
949,946
950,909
951,910
952,1018
953,906
954,991
955,1090
956,1033
957,985
958,907
959,1099
960,1009
961,1049
962,1193
963,1206
964,1256
965,1120
966,977
967,1032
968,1004
969,1042
970,1190
971,1237
972,1116
973,1308
974,1159
975,1059
976,1148
977,1218
978,1278
979,1324
980,1261
981,1269
982,1380
983,1348
984,1249
985,1362
986,1349
987,1331
988,1399
989,1369
990,1520
991,1588
992,1532
993,1610
994,1834
995,1548
996,1426
997,1377
998,1578
999,1621
1000,1736
